iter	Passed	Remaining
565	33606	25768
566	33682	25722
567	33747	25666
568	33807	25607
569	33870	25551
570	33924	25487
571	33978	25424
572	34031	25359
573	34089	25299
574	34144	25237
575	34199	25174
576	34253	25111
577	34307	25047
578	34365	24987
579	34423	24927
580	34477	24864
581	34534	24803
582	34589	24740
583	34649	24681
584	34712	24624
585	34773	24567
586	34827	24503
587	34888	24445
588	35009	24429
589	35061	24364
590	35117	24302
591	35159	24231
592	35215	24170
593	35269	24106
594	35325	24045
595	35379	23981
596	35432	23918
597	35485	23854
598	35539	23792
599	35593	23729
600	35618	23646
601	35674	23585
602	35728	23522
603	35781	23459
604	35837	23398
605	35897	23339
606	35953	23277
607	36006	23214
608	36064	23154
609	36118	23092
610	36173	23030
611	36227	22967
612	36287	22909
613	36344	22848
614	36397	22785
615	36455	22725
616	36513	22665
617	36574	22607
618	36632	22547
619	36693	22489
620	36754	22431
621	36810	22370
622	36868	22310
623	36921	22247
624	36976	22185
625	37029	22123
626	37087	22063
627	37143	22002
628	37200	21941
629	37255	21880
630	37312	21819
631	37365	21756
632	37383	21674
633	37437	21612
634	37489	21548
635	37542	21486
636	37602	21428
637	37657	21366
638	37717	21308
639	37772	21247
640	37828	21186
641	37886	21126
642	37941	21065
643	37994	21003
644	38051	20943
645	38111	20884
646	38165	20822
647	38218	20760
648	38275	20700
649	38321	20634
650	38375	20573
651	38430	20512
652	38482	20449
653	38539	20389
654	38597	20329
655	38655	20270
656	38711	20210
657	38769	20150
658	38822	20088
659	38876	20027
660	38930	19965
661	38985	19905
662	39042	19845
663	39098	19784
664	39152	19723
665	39206	19661
666	39265	19603
667	39321	19543
668	39375	19481
669	39430	19421
670	39485	19360
671	39539	19299
672	39599	19240
673	39655	19180
674	39713	19121
675	39769	19060
676	39821	18998
677	39886	18943
678	39945	18884
679	40000	18823
680	40053	18762
681	40110	18702
682	40169	18643
683	40226	18584
684	40290	18527
685	40341	18465
686	40394	18404
687	40447	18342
688	40501	18281
689	40558	18221
690	40614	18161
691	40668	18101
692	40720	18039
693	40773	17977
694	40833	17919
695	40887	17858
696	40943	17799
697	41058	17764
698	41116	17705
699	41174	17646
700	41226	17584
701	41285	17525
702	41343	17466
703	41396	17405
704	41448	17343
705	41500	17281
706	41556	17221
707	41608	17160
708	41666	17101
709	41722	17041
710	41778	16981
711	41839	16924
712	41901	16866
713	41956	16806
714	42010	16745
715	42066	16685
716	42121	16625
717	42176	16565
718	42220	16500
719	42277	16441
720	42332	16381
721	42385	16320
722	42441	16260
723	42498	16200
724	42554	16141
725	42609	16081
726	42680	16027
727	42741	15969
728	42797	15909
729	42855	15850
730	42910	15790
731	42965	15730
732	43022	15671
733	43078	15611
734	43137	15552
735	43194	15493
736	43241	15430
737	43306	15374
738	43360	15314
739	43415	15254
740	43469	15193
741	43522	15133
742	43575	15072
743	43629	15012
744	43685	14952
745	43729	14889
746	43769	14824
747	43808	14759
748	43866	14700
749	43921	14640
750	43976	14580
751	44033	14521
752	44088	14461
753	44126	14396
754	44166	14332
755	44206	14267
756	44245	14203
757	44288	14139
758	44326	14074
759	44364	14009
760	44402	13945
761	44440	13880
762	44479	13815
763	44518	13751
764	44554	13686
765	44614	13628
766	44656	13565
767	44699	13503
768	44737	13438
769	44791	13379
770	44831	13315
771	44870	13251
772	44908	13187
773	44948	13124
774	44986	13060
775	45026	12997
776	45065	12933
777	45102	12869
778	45140	12806
779	45179	12742
780	45216	12679
781	45254	12615
782	45297	12553
783	45337	12491
784	45382	12429
785	45423	12367
786	45463	12304
787	45503	12242
788	45544	12179
789	45582	12116
790	45622	12054
791	45674	11995
792	45728	11936
793	45787	11879
794	45839	11820
795	45878	11757
796	45917	11695
797	45961	11634
798	46001	11572
799	46043	11510
800	46081	11448
801	46130	11388
802	46186	11330
803	46241	11272
804	46302	11216
805	46338	11153
806	46394	11095
807	46446	11036
808	46499	10978
809	46552	10919
810	46606	10861
811	46663	10803
812	46715	10745
813	46769	10686
814	46824	10628
815	46878	10570
816	46932	10512
817	46986	10454
818	47042	10396
819	47101	10339
820	47166	10283
821	47228	10227
822	47287	10170
823	47344	10112
824	47402	10055
825	47454	9996
826	47508	9938
827	47563	9880
828	47601	9818
829	47638	9757
830	47691	9698
831	47743	9640
832	47799	9582
833	47854	9525
834	47907	9466
835	47963	9409
836	48078	9362
837	48132	9304
838	48194	9248
839	48248	9190
840	48302	9132
841	48354	9073
842	48409	9015
843	48460	8957
844	48515	8899
845	48568	8840
846	48625	8783
847	48677	8725
848	48729	8666
849	48783	8608
850	48840	8551
851	48893	8493
852	48949	8435
853	49003	8377
854	49057	8319
855	49113	8262
856	49169	8204
857	49224	8146
858	49276	8088
859	49329	8030
860	49381	7972
861	49438	7914
862	49496	7857
863	49564	7801
864	49625	7744
865	49678	7687
866	49732	7629
867	49790	7571
868	49845	7514
869	49908	7457
870	49968	7400
871	50009	7340
872	50048	7280
873	50105	7223
874	50143	7163
875	50201	7106
876	50239	7046
877	50280	6986
878	50322	6927
879	50358	6867
880	50396	6807
881	50439	6748
882	50478	6688
883	50519	6629
884	50556	6569
885	50594	6509
886	50634	6450
887	50671	6391
888	50712	6331
889	50752	6272
890	50788	6213
891	50826	6153
892	50866	6094
893	50906	6035
894	50947	5977
895	50986	5918
896	51023	5858
897	51061	5799
898	51100	5741
899	51138	5682
900	51176	5623
901	51255	5568
902	51337	5514
903	51387	5457
904	51429	5398
905	51468	5339
906	51506	5281
907	51545	5222
908	51582	5163
909	51621	5105
910	51659	5046
911	51698	4988
912	51741	4930
913	51779	4872
914	51818	4813
915	51857	4755
916	51895	4697
917	51936	4639
918	51974	4581
919	52012	4522
920	52054	4465
921	52094	4407
922	52133	4349
923	52170	4291
924	52208	4233
925	52246	4175
926	52285	4117
927	52325	4059
928	52363	4001
929	52403	3944
930	52442	3886
931	52481	3829
932	52521	3771
933	52559	3714
934	52597	3656
935	52636	3599
936	52675	3541
937	52715	3484
938	52753	3427
939	52792	3369
940	52835	3312
941	52873	3255
942	52914	3198
943	52952	3141
944	52990	3084
945	53029	3027
946	53070	2970
947	53109	2913
948	53146	2856
949	53183	2799
950	53221	2742
951	53260	2685
952	53299	2628
953	53336	2571
954	53374	2515
955	53414	2458
956	53452	2401
957	53490	2345
958	53528	2288
959	53565	2231
960	53605	2175
961	53645	2119
962	53682	2062
963	53724	2006
964	53765	1950
965	53811	1893
966	53855	1837
967	53896	1781
968	53935	1725
969	53974	1669
970	54013	1613
971	54057	1557
972	54096	1501
973	54135	1445
974	54173	1389
975	54212	1333
976	54259	1277
977	54307	1221
978	54352	1165
979	54396	1110
980	54444	1054
981	54492	998
982	54533	943
983	54565	887
984	54597	831
985	54631	775
986	54667	720
987	54721	664
988	54777	609
989	54827	553
990	54878	498
991	54926	442
992	54979	387
993	55040	332
994	55077	276
995	55132	221
996	55192	166
997	55246	110
998	55281	55
999	55315	0
